player_name,player_link,player_type,cost_lakhs,cost_dollars,born_date,player_age,batting_style,bowling_style,playing_role
Virat Kohli,https://www.espncricinfo.com/ci/content/player/253802.html,Not available,1500,1829,"November 05, 1988, Delhi",34y 196d,Right hand Bat,Right arm Medium,Top order Batter
Glenn Maxwell,https://www.espncricinfo.com/ci/content/player/325026.html,Not available,1100,1341,"October 14, 1988, Kew, Melbourne, Victoria",34y 218d,Right hand Bat,Right arm Offbreak,Batting Allrounder
Harshal Patel,https://www.espncricinfo.com/ci/content/player/390481.html,Not available,1075,1310,"November 23, 1990, Sanand, Gujarat",32y 178d,Right hand Bat,Right arm Medium,Bowler
Wanindu Hasaranga,https://www.espncricinfo.com/ci/content/player/784379.html,Not available,1075,1310,"July 29, 1997, Galle",25y 295d,Right hand Bat,Legbreak,Allrounder
Josh Hazlewood,https://www.espncricinfo.com/ci/content/player/288284.html,Not available,775,945,"January 08, 1991, Tamworth, New South Wales",32y 132d,Left hand Bat,Right arm Fast medium,Bowler
Faf du Plessis,https://www.espncricinfo.com/ci/content/player/44828.html,Not available,700,853,"July 13, 1984, Pretoria",38y 311d,Right hand Bat,Legbreak,Middle order Batter
Mohammed Siraj,https://www.espncricinfo.com/ci/content/player/940973.html,Not available,700,853,"March 13, 1994, Hyderabad",29y 68d,Right hand Bat,Right arm Fast,Bowler
Dinesh Karthik,https://www.espncricinfo.com/ci/content/player/30045.html,Not available,550,670,"June 01, 1985, Madras (now Chennai), Tamil Nadu",37y 353d,Dinesh,Right hand Bat,Right arm Offbreak
Anuj Rawat,https://www.espncricinfo.com/ci/content/player/1123073.html,Not available,340,414,"October 17, 1999, Ram Nagar, Uttarakhand",23y 215d,Left hand Bat,Wicketkeeper Batter
Will Jacks,https://www.espncricinfo.com/ci/content/player/897549.html,Not available,320,390,"November 21, 1998, Chertsey, Surrey",24y 180d,Right hand Bat,Right arm Offbreak,Batter
Shahbaz Ahmed,https://www.espncricinfo.com/ci/content/player/1159711.html,Not available,240,292,"December 11, 1994, Mewat, Haryana",28y 160d,Left hand Bat,Slow Left arm Orthodox,Allrounder
David Willey,https://www.espncricinfo.com/ci/content/player/308251.html,Not available,200,243,"February 28, 1990, Northampton",33y 81d,Left hand Bat,Left arm Fast medium,Bowling Allrounder
Reece Topley,https://www.espncricinfo.com/ci/content/player/461632.html,Not available,190,231,"February 21, 1994, Ipswich, Suffolk",29y 88d,Right hand Bat,Left arm Fast medium,Bowler
Mahipal Lomror,https://www.espncricinfo.com/ci/content/player/853265.html,Not available,95,115,"November 16, 1999, Nagaur, Rajasthan",23y 185d,Left hand Bat,Slow Left arm Orthodox,Allrounder
Finn Allen,https://www.espncricinfo.com/ci/content/player/959759.html,Not available,80,97,"April 22, 1999, Auckland",24y 28d,Right hand Bat,Occasional Wicketkeeper,Top order Batter
Siddarth Kaul,https://www.espncricinfo.com/ci/content/player/326017.html,Not available,75,91,"May 19, 1990, Pathankot, Punjab",33y 1d,Right hand Bat,Right arm Medium,Bowler
Rajan Kumar,https://www.espncricinfo.com/ci/content/player/1339027.html,Not available,70,85,"July 08, 1996, Haridwar",26y 316d,Left hand Bat,Left arm Medium fast,Bowler
Avinash Singh,https://www.espncricinfo.com/ci/content/player/1350765.html,Not available,60,73,"January 04, 1998, Jammu",25y 136d,Right hand Bat,Right arm Fast,Bowler
